"","EQUIPO","AVG ASISTENCIA GIRA","MAXIMA ASISTENCIA CASA","MENOR ASISTENCIA CASA","APERTURAS EN CASA","AVG ASISTENCIA CASA","ASISTENCIA TOTAL CASA","CAPACIDAD","PCT CAPACIDAD"
"1","Acereros del Norte",5334,8500,3294,38,4363,165795,8500,51
"2","Algodoneros Union Laguna",4866,7640,5224,42,7012,294500,7689,91
"3","Bravos de Leon",4512,6097,1467,38,4058,154197,6500,62
"4","Caliente de Durango",4898,5081,512,38,1766,67111,4983,35
"5","Charros de Jalisco",4410,9513,2122,39,3819,148928,16500,23
"6","Conspiradores de Queretaro",3566,4672,1,37,1855,68633,6800,27
"7","Diablos Rojos del Mexico",5738,19989,5554,40,11598,463908,20062,58
"8","Dorados de Chihuahua",5014,6835,248,44,1641,72193,15500,11
"9","El Aguila de Veracruz",4159,7310,1380,36,3346,120461,7319,46
"10","Guerreros de Oaxaca",4575,7200,1100,35,2665,93269,7200,37
"11","Leones de Yucatan",4284,5329,1,33,3186,105141,5104,62
"12","Olmecas de Tabasco",4664,7498,1366,41,3612,148098,6600,55
"13","Pericos de Puebla",4259,9892,3581,37,5118,189351,9200,56
"14","Piratas de Campeche",3848,4321,1,37,1462,54088,4190,35
"15","Rieleros de Aguascalientes",4330,5344,1,38,3345,127122,6496,51
"16","Saraperos de Saltillo",5762,10480,3481,40,6667,266692,11000,61
"17","Sultanes de Monterrey",4878,18010,1,33,8616,284329,21803,40
"18","Tecos de los Dos Laredos",4114,7103,2973,41,3714,152284,5000,74
"19","Tigres de Quintana Roo",4735,10285,2046,37,5282,195443,10825,49
"20","Toros de Tijuana",4321,17016,3983,36,9482,341369,17000,56
