"","total_splits","season","num_teams","rank","games_played","runs","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","avg","at_bats","obp","slg","ops","caught_stealing","stolen_bases","stolen_base_percentage","era","innings_pitched","earned_runs","whip","batters_faced","outs","games_pitched","hit_batsmen","wild_pitches","pickoffs","total_bases","strikeout_walk_ratio","strikeouts_per9inn","walks_per9inn","hits_per9inn","runs_scored_per9","home_runs_per9","catchers_interference","sac_bunts","sac_flies","passed_ball","team_id","team_name","team_link","player_id","player_full_name","player_link","player_first_name","player_last_name","league_id","league_name","league_link","sport_id","sport_link","sport_abbreviation","position_code","position_name","position_type","position_abbreviation","player_pool","type_display_name","group_display_name"
"23",83,"2024",1,23,4,18,2,29,6,1,28,6,".233",120,".299",".300",".599",1,0,".000","4.22","32.0",15,"1.06",135,96,4,6,1,0,36,"4.83","8.16","1.69","7.88","5.06","0.56",0,1,2,0,447,"Algodoneros Union Laguna","/api/v1/teams/447",649955,"Hendrik Clementina","/api/v1/people/649955","Hendrik","Clementina",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"24",83,"2024",1,24,27,103,20,161,75,3,209,16,".276",758,".351",".410",".761",4,13,".765","4.25","201.1",95,"1.41",863,604,27,16,13,0,311,"2.15","7.20","3.35","9.34","4.60","0.89",0,9,5,2,532,"Diablos Rojos del Mexico","/api/v1/teams/532",468368,"Gabriel Gutierrez","/api/v1/people/468368","Gabriel","Gutierrez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"25",83,"2024",1,25,59,256,64,360,175,5,481,26,".257",1871,".327",".416",".743",9,25,".735","4.25","489.0",231,"1.34",2104,1467,59,26,24,1,778,"2.06","6.63","3.22","8.85","4.71","1.18",0,16,16,5,5567,"El Aguila de Veracruz","/api/v1/teams/5567",587275,"Alan Espinoza","/api/v1/people/587275","Alan","Espinoza",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"26",83,"2024",1,26,68,305,55,506,196,5,528,28,".249",2122,".318",".388",".706",12,36,".750","4.40","556.1",272,"1.30",2388,1669,68,28,28,0,823,"2.58","8.19","3.17","8.54","4.93","0.89",0,25,17,1,496,"Leones de Yucatan","/api/v1/teams/496",593590,"Webster Rivas","/api/v1/people/593590","Webster","Rivas",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","3","First Base","Infielder","1B","ALL","season","catching"
"27",83,"2024",1,27,14,56,14,90,42,1,104,6,".258",403,".334",".422",".756",1,12,".923","4.46","107.0",53,"1.36",455,321,14,6,17,0,170,"2.14","7.57","3.53","8.75","4.71","1.18",0,0,4,1,562,"Sultanes de Monterrey","/api/v1/teams/562",692473,"Christopher Escarrega","/api/v1/people/692473","Christopher","Escarrega",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"28",83,"2024",1,28,50,191,35,272,154,6,375,16,".285",1317,".365",".428",".793",18,16,".471","4.53","342.0",172,"1.55",1509,1026,50,16,22,1,564,"1.77","7.16","4.05","9.87","5.03","0.92",0,14,8,1,562,"Sultanes de Monterrey","/api/v1/teams/562",666728,"Carlos Soto","/api/v1/people/666728","Carlos","Soto",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"29",83,"2024",1,29,57,240,52,405,162,7,438,22,".265",1650,".337",".417",".754",16,36,".692","4.55","423.0",214,"1.42",1862,1269,57,22,33,0,688,"2.50","8.62","3.45","9.32","5.11","1.11",2,16,10,1,442,"Olmecas de Tabasco","/api/v1/teams/442",641896,"Roy Morales","/api/v1/people/641896","Roy","Morales",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"30",83,"2024",1,30,28,109,15,175,77,2,217,6,".280",775,".347",".406",".753",11,12,".522","4.56","201.1",102,"1.46",871,604,28,6,10,0,315,"2.27","7.82","3.44","9.70","4.87","0.67",0,7,6,0,562,"Sultanes de Monterrey","/api/v1/teams/562",664966,"Jonathan Morales","/api/v1/people/664966","Jonathan","Morales",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"31",83,"2024",1,31,43,171,19,242,148,7,334,33,".284",1178,".375",".401",".776",8,31,".795","4.60","303.1",155,"1.59",1381,910,43,33,18,0,472,"1.64","7.18","4.39","9.91","5.07","0.56",0,8,14,1,447,"Algodoneros Union Laguna","/api/v1/teams/447",681944,"Dean Nevarez","/api/v1/people/681944","Dean","Nevarez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"32",83,"2024",1,32,50,235,40,366,140,8,456,26,".284",1608,".348",".414",".762",7,46,".868","4.67","408.1",212,"1.46",1809,1225,50,26,20,0,665,"2.61","8.07","3.09","10.05","5.18","0.88",0,24,11,2,5010,"Toros de Tijuana","/api/v1/teams/5010",668663,"Tres Barrera","/api/v1/people/668663","Tres","Barrera",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"33",83,"2024",1,33,20,88,17,130,79,3,152,16,".263",577,".364",".397",".761",2,12,".857","4.73","150.1",79,"1.54",683,451,20,16,21,0,229,"1.65","7.78","4.73","9.10","5.27","1.02",0,5,6,1,569,"Tigres de Quintana Roo","/api/v1/teams/569",622603,"Carlos Castro","/api/v1/people/622603","Carlos","Castro",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"34",83,"2024",1,34,21,43,7,72,23,0,80,2,".265",302,".319",".411",".730",1,3,".750","4.74","76.0",40,"1.36",330,228,21,2,6,0,124,"3.13","8.53","2.72","9.47","5.09","0.83",0,1,2,0,496,"Leones de Yucatan","/api/v1/teams/496",672953,"Gilberto Vizcarra","/api/v1/people/672953","Gilberto","Vizcarra",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"35",83,"2024",2,35,39,171,35,214,88,1,340,9,".287",1186,".339",".454",".793",8,41,".837","4.75","299.1",158,"1.43",1298,898,39,9,14,2,539,"2.43","6.43","2.65","10.22","5.14","1.05",0,8,7,5,502,"Saraperos de Saltillo","/api/v1/teams/502",516679,"Sebastian Valle","/api/v1/people/516679","Sebastian","Valle",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"36",83,"2024",2,36,33,143,41,217,102,3,267,23,".278",959,".359",".471",".830",10,21,".677","4.84","245.1",132,"1.50",1102,736,33,23,14,0,452,"2.13","7.96","3.74","9.79","5.25","1.50",1,9,7,3,6304,"Charros de Jalisco","/api/v1/teams/6304",641924,"Jacob Nottingham","/api/v1/people/641924","Jacob","Nottingham",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"37",83,"2024",1,37,30,106,30,132,64,5,213,9,".289",738,".350",".467",".817",3,11,".786","4.86","185.1",100,"1.49",822,556,30,9,13,0,345,"2.06","6.41","3.11","10.34","5.15","1.46",0,5,6,1,520,"Pericos de Puebla","/api/v1/teams/520",666128,"Mario Feliciano","/api/v1/people/666128","Mario","Feliciano",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"38",83,"2024",1,38,56,239,53,309,144,7,448,31,".298",1501,".370",".458",".828",17,20,".541","4.97","376.2",208,"1.57",1702,1130,56,31,14,2,687,"2.15","7.38","3.44","10.70","5.71","1.27",0,16,10,1,520,"Pericos de Puebla","/api/v1/teams/520",675202,"Juan Kirk","/api/v1/people/675202","Juan","Kirk",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"39",83,"2024",1,39,32,150,25,175,92,3,251,14,".276",908,".349",".412",".761",4,23,".852","5.01","228.0",127,"1.50",1029,684,32,14,19,0,374,"1.90","6.91","3.63","9.91","5.92","0.99",0,6,9,0,447,"Algodoneros Union Laguna","/api/v1/teams/447",624645,"Julian Leon","/api/v1/people/624645","Julian","Leon",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"40",83,"2024",2,40,38,185,26,244,169,8,315,17,".285",1107,".384",".416",".800",8,24,".750","5.02","285.1",159,"1.70",1318,856,38,17,26,0,461,"1.44","7.70","5.33","9.94","5.84","0.82",0,14,11,2,4444,"Caliente de Durango","/api/v1/teams/4444",642299,"Alejandro Flores","/api/v1/people/642299","Alejandro","Flores",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"41",83,"2024",1,41,3,11,0,10,7,0,15,2,".268",56,".358",".339",".697",0,2,"1.000","5.14","14.0",8,"1.57",67,42,3,2,3,0,19,"1.43","6.43","4.50","9.64","7.07","0.00",0,0,2,0,579,"Guerreros de Oaxaca","/api/v1/teams/579",699136,"Heber Villalobos","/api/v1/people/699136","Heber","Villalobos",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"42",83,"2024",2,42,60,298,55,374,276,8,510,24,".280",1823,".378",".435",".813",29,24,".453","5.16","473.0",271,"1.66",2150,1419,60,24,34,1,793,"1.36","7.12","5.25","9.70","5.67","1.05",0,8,19,2,528,"Rieleros de Aguascalientes","/api/v1/teams/528",542513,"Tomás Telis","/api/v1/people/542513","Tomás","Telis",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"43",83,"2024",2,43,6,16,3,19,9,0,32,1,".302",106,".359",".453",".812",2,5,".714","5.19","26.0",15,"1.58",117,78,6,1,1,0,48,"2.11","6.58","3.12","11.08","5.54","1.04",0,0,1,0,528,"Rieleros de Aguascalientes","/api/v1/teams/528",542328,"Hans Wilson","/api/v1/people/542328","Hans","Wilson",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"44",83,"2024",1,44,14,51,14,64,30,2,81,6,".283",286,".360",".469",".829",2,6,".750","5.28","75.0",44,"1.48",331,225,14,6,5,0,134,"2.13","7.68","3.60","9.72","6.12","1.68",0,6,3,1,569,"Tigres de Quintana Roo","/api/v1/teams/569",680365,"German Revilla","/api/v1/people/680365","German","Revilla",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"45",83,"2024",1,45,25,122,21,148,75,1,216,16,".300",720,".373",".447",".820",5,15,".750","5.29","182.0",107,"1.60",829,546,25,16,18,1,322,"1.97","7.32","3.71","10.68","6.03","1.04",0,7,11,1,536,"Tecos de los Dos Laredos","/api/v1/teams/536",516949,"Héctor Sánchez","/api/v1/people/516949","Héctor","Sánchez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"46",83,"2024",1,46,63,334,77,466,248,7,594,19,".293",2027,".372",".465",".837",31,31,".500","5.36","511.2",305,"1.65",2332,1535,63,19,35,0,943,"1.88","8.20","4.36","10.45","5.87","1.35",0,19,19,3,569,"Tigres de Quintana Roo","/api/v1/teams/569",656029,"Alexis Wilson","/api/v1/people/656029","Alexis","Wilson",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"47",83,"2024",2,47,49,257,52,331,190,4,458,24,".296",1545,".379",".458",".837",15,25,".625","5.42","391.2",236,"1.65",1786,1175,49,24,25,0,708,"1.74","7.61","4.37","10.52","5.91","1.19",0,15,12,3,579,"Guerreros de Oaxaca","/api/v1/teams/579",594020,"Ricardo Valenzuela","/api/v1/people/594020","Ricardo","Valenzuela",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"48",83,"2024",1,48,64,345,74,436,221,7,568,27,".280",2032,".355",".456",".811",14,48,".774","5.53","514.0",316,"1.54",2312,1542,64,27,38,0,926,"1.97","7.63","3.87","9.95","6.04","1.30",0,15,17,3,523,"Piratas de Campeche","/api/v1/teams/523",506747,"Francisco Peña","/api/v1/people/506747","Francisco","Peña",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"49",83,"2024",1,49,23,97,23,108,61,0,168,11,".297",566,".374",".466",".840",3,14,".824","5.56","139.1",86,"1.64",646,418,23,11,18,0,264,"1.77","6.98","3.94","10.85","6.27","1.49",0,5,3,2,523,"Piratas de Campeche","/api/v1/teams/523",616570,"Daniel Sanchez","/api/v1/people/616570","Daniel","Sanchez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"50",83,"2024",1,50,43,225,39,267,152,7,400,18,".303",1322,".380",".477",".857",22,23,".511","5.56","335.1",207,"1.65",1513,1006,43,18,37,3,631,"1.76","7.17","4.08","10.74","6.04","1.05",1,13,7,10,528,"Rieleros de Aguascalientes","/api/v1/teams/528",592604,"Justin O'Conner","/api/v1/people/592604","Justin","O'Conner",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","1","Pitcher","Pitcher","P","ALL","season","catching"
