,Batter_Name,AB,R,H,D,Tr,HR,RBI,BB,SO,HBP,SB,SF,SH,PA,AVG,OBP,SLG,OPS
1,ADAN MUNOZ,12,0,3,0,0,0,1,1,2,0,0,0,0,13,0.250,0.308,0.250,0.558
2,ADRIAN GUTIERREZ,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0.000,0.250,0.000,0.250
3,ADRIAN NICOLI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000
4,AGUSTIN MURILLO,23,4,8,2,0,2,6,3,2,1,2,0,0,26,0.348,0.444,0.870,1.314
5,ALAN ESPINOZA,11,1,4,1,0,1,7,0,0,0,0,0,0,11,0.364,0.364,0.909,1.273
6,ALAN SANCHEZ,12,0,3,0,0,0,2,1,2,0,0,0,0,13,0.250,0.308,0.250,0.558
7,ALBERTO CALLASPO,23,4,9,2,0,0,2,4,1,0,1,0,0,27,0.391,0.481,0.565,1.046
8,ALBERTO CARREON,20,5,6,2,0,0,1,2,6,1,2,0,0,22,0.300,0.391,0.500,0.891
9,ALBERTO QUERALES,21,3,5,0,0,0,2,0,3,0,0,1,2,24,0.238,0.227,0.238,0.465
10,ALEJANDRO GONZALEZ,29,3,4,1,0,0,2,2,10,1,0,0,0,31,0.138,0.219,0.207,0.426
11,ALEJANDRO RIVERO,21,1,5,0,0,0,4,1,5,1,0,1,0,23,0.238,0.292,0.238,0.530
12,ALEX VALDEZ,19,3,5,0,0,2,2,4,1,0,0,0,0,23,0.263,0.391,0.684,1.075
13,ALEXEI RAMIREZ,24,4,9,1,0,0,0,2,6,0,0,0,0,26,0.375,0.423,0.458,0.881
14,ALONZO HARRIS,18,4,5,1,0,0,1,0,3,0,1,0,0,18,0.278,0.278,0.389,0.667
15,ALVARO GONZALEZ,11,2,4,0,0,2,2,3,2,0,0,0,0,14,0.364,0.500,1.091,1.591
16,AMADEO ZAZUETA,26,3,7,0,0,0,2,3,4,0,1,0,0,29,0.269,0.345,0.269,0.614
17,AMILCAR GOMEZ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000
18,ANDERSON HERNANDEZ,25,7,12,3,0,0,5,2,1,0,2,0,0,27,0.480,0.519,0.720,1.239
19,ANDRES AYON,10,1,1,0,0,0,0,0,4,0,0,0,0,10,0.100,0.100,0.100,0.200
20,ANGEL ERRO,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0.000,0.000,0.000,0.000
21,ANTONIO LAMAS,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000
22,AREL CAMPOY,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0.000,0.333,0.000,0.333
23,ARTURO RODRIGUEZ,19,1,4,1,0,0,3,4,3,1,0,0,0,23,0.211,0.375,0.316,0.691
24,ASAEL SANCHEZ,20,3,6,2,0,0,1,3,4,0,0,0,1,24,0.300,0.391,0.500,0.891
25,BERNARDO HERAS,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0.000,0.000,0.000,0.000
26,BRANDON MACIAS,12,2,6,1,0,1,2,2,1,3,0,0,0,14,0.500,0.647,1.000,1.647
27,BRAXTON MARTINEZ,19,3,3,0,0,1,1,3,7,0,0,0,0,22,0.158,0.273,0.368,0.641
28,BRAYAN QUINTERO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000
29,BRIAN HERNANDEZ,26,4,10,5,0,0,9,4,2,1,0,0,0,30,0.385,0.484,0.769,1.253
30,C.J. RETHERFORD,21,3,7,1,0,0,1,1,5,0,0,0,0,22,0.333,0.364,0.429,0.793
31,CARLOS ALBERTO GASTELUM,30,7,6,2,0,0,4,1,4,0,0,1,0,32,0.200,0.219,0.333,0.552
32,CARLOS ALVAREZ,9,1,1,0,0,0,1,1,3,0,0,0,0,10,0.111,0.200,0.111,0.311
33,CARLOS COLMENARES,24,3,5,2,0,0,2,1,6,0,0,0,1,26,0.208,0.240,0.375,0.615
34,CARLOS CORPORAN,13,2,5,1,0,0,4,3,3,0,0,0,0,16,0.385,0.500,0.538,1.038
35,CARLOS EDUARDO GONZALEZ,3,1,0,0,0,0,0,1,1,0,0,0,0,4,0.000,0.250,0.000,0.250
36,CARLOS FIGUEROA,21,5,3,0,0,1,2,7,2,0,4,0,0,28,0.143,0.357,0.333,0.690
37,CARLOS GARZON,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0.000,0.000,0.000,0.000
38,CARLOS LOPEZ,20,3,5,2,0,0,3,4,4,1,0,1,1,26,0.250,0.385,0.450,0.835
39,CARLOS MENDIVIL,3,1,1,0,0,0,0,0,2,0,0,0,0,3,0.333,0.333,0.333,0.666
40,CARLOS MORALES,10,0,1,0,0,0,0,0,3,0,0,0,0,10,0.100,0.100,0.100,0.200
41,CARLOS MUNOZ,22,4,4,0,0,0,4,4,5,1,0,0,0,26,0.182,0.333,0.182,0.515
42,CARLOS PAULINO,26,5,9,1,1,2,7,1,5,1,1,0,0,27,0.346,0.393,0.846,1.239
43,CARLOS PENUELAS,15,2,3,1,0,0,2,2,1,0,0,1,1,19,0.200,0.278,0.333,0.611
44,CARLOS RIVERO,22,2,5,1,0,0,2,3,6,0,0,0,0,25,0.227,0.320,0.318,0.638
45,CARLOS RODRIGUEZ,21,3,4,1,0,0,3,3,5,0,0,0,1,25,0.190,0.292,0.286,0.578
46,CEDRIC HUNTER,27,4,5,0,0,1,3,1,7,1,0,0,0,28,0.185,0.241,0.333,0.574
47,CESAR TAPIA,18,1,1,1,0,0,1,0,2,0,1,1,0,19,0.056,0.053,0.167,0.220
48,CHRIS ROBERSON,25,7,6,2,0,1,3,2,3,1,1,1,0,28,0.240,0.310,0.560,0.870
49,CHRIS VALENCIA,16,2,4,0,0,0,3,2,1,0,2,0,0,18,0.250,0.333,0.250,0.583
50,CIRO NORZAGARAY,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0.000,0.333,0.000,0.333
51,COREY BROWN,23,2,5,0,1,0,0,2,8,0,1,0,0,25,0.217,0.280,0.348,0.628
52,CRISTHIAN PRESICHI,17,7,7,2,0,1,6,3,5,0,1,1,1,22,0.412,0.476,0.882,1.358
53,CYLE HANKERD,19,4,6,2,0,1,3,5,2,1,0,0,0,24,0.316,0.480,0.737,1.217
54,DAN JOHNSON,27,3,7,1,0,1,2,2,7,1,0,0,0,29,0.259,0.333,0.481,0.814
55,DANIEL CORNEJO,7,0,3,1,0,0,1,1,0,0,0,0,0,8,0.429,0.500,0.714,1.214
56,DANIEL HINOJOSA,13,1,2,0,0,0,0,0,4,0,0,0,1,14,0.154,0.154,0.154,0.308
57,DANIEL JIMENEZ,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0.500,0.500,0.500,1.000
58,DANIEL MAYORA,20,3,5,1,0,0,1,5,2,1,0,0,0,25,0.250,0.423,0.350,0.773
59,DANIEL MERCADO,5,0,0,0,0,0,0,0,2,0,0,0,0,5,0.000,0.000,0.000,0.000
60,DANIEL NUNEZ,23,5,8,2,0,0,5,5,3,0,2,1,1,30,0.348,0.448,0.522,0.970
61,DANIEL SANCHEZ,16,1,4,1,0,0,1,2,2,0,0,0,0,18,0.250,0.333,0.375,0.708
62,DARIC BARTON,16,7,6,1,1,2,5,5,3,4,0,0,0,21,0.375,0.600,1.188,1.788
63,DAVID VIDAL,23,6,7,1,0,2,8,2,5,2,0,0,0,25,0.304,0.407,0.739,1.146
